txn_id,date,account,merchant,description,amount,category,subcategory,channel,is_recurring,is_income
1,2025-11-03,Checking,Payouts Inc,Paycheck,2552.07,income,salary,ach,1,1
2,2025-11-17,Checking,Payouts Inc,Paycheck,2555.2,income,salary,ach,1,1
3,2025-11-02,Checking,Oakwood Homes,Monthly Rent,-1800,rent,housing,ach,1,0
4,2025-11-07,Checking,PureWater,Utility Bill,-220,utilities,bill,ach,1,0
5,2025-11-28,Credit,iCloud,Subscription,-65.49,subscriptions,media,card,1,0
6,2025-11-11,Credit,Spotify,Subscription,-55.2,subscriptions,media,card,1,0
7,2025-11-12,Credit,Netflix,Subscription,-56.35,subscriptions,media,card,1,0
8,2025-11-03,Credit,Target,shopping purchase,-129.18,shopping,general,pos,0,0
9,2025-11-29,Checking,Exxon,transport purchase,-34.87,transport,general,pos,0,0
10,2025-11-11,Credit,Exxon,transport purchase,-50.88,transport,general,card,0,0
11,2025-11-16,Checking,CVS,healthcare purchase,-20.61,healthcare,general,card,0,0
12,2025-11-27,Checking,Costco,groceries purchase,-231.57,groceries,general,pos,0,0
13,2025-11-11,Credit,Costco,groceries purchase,-288.79,groceries,general,pos,0,0
14,2025-11-08,Credit,Misc Store,other purchase,-74.82,other,general,card,0,0
15,2025-11-02,Credit,Lyft,transport purchase,-128.68,transport,general,card,0,0
16,2025-11-25,Checking,AMC,entertainment purchase,-128.5,entertainment,general,card,0,0
17,2025-11-12,Credit,Walgreens,healthcare purchase,-22.88,healthcare,general,card,0,0
18,2025-11-16,Checking,Whole Foods,groceries purchase,-238.88,groceries,general,card,0,0
19,2025-11-12,Checking,Misc Store,other purchase,-57.49,other,general,card,0,0
20,2025-11-02,Checking,Misc Store,other purchase,-51.15,other,general,card,0,0
21,2025-11-10,Credit,Misc Store,other purchase,-37.57,other,general,card,0,0
22,2025-11-22,Checking,Amazon,shopping purchase,-208.64,shopping,general,pos,0,0
23,2025-11-22,Credit,Trader Joes,groceries purchase,-96.5,groceries,general,card,0,0
24,2025-11-19,Checking,Uber,transport purchase,-69.91,transport,general,pos,0,0
25,2025-11-04,Checking,Amazon,shopping purchase,-172.41,shopping,general,card,0,0
26,2025-11-06,Credit,Target,shopping purchase,-90.14,shopping,general,card,0,0
27,2025-11-25,Credit,Uber,transport purchase,-48.14,transport,general,card,0,0
28,2025-11-18,Credit,Shell,transport purchase,-60.02,transport,general,card,0,0
29,2025-11-28,Credit,Starbucks,dining purchase,-168.7,dining,general,card,0,0
30,2025-11-17,Credit,Misc Store,other purchase,-24.2,other,general,pos,0,0
31,2025-11-14,Checking,Amazon,shopping purchase,-172.06,shopping,general,card,0,0
32,2025-11-21,Credit,Amazon,shopping purchase,-156.66,shopping,general,card,0,0
33,2025-11-06,Credit,Chipotle,dining purchase,-141.22,dining,general,card,0,0
34,2025-11-03,Checking,Exxon,transport purchase,-119.13,transport,general,card,0,0
35,2025-11-18,Checking,Uber,transport purchase,-49.22,transport,general,card,0,0
36,2025-11-10,Credit,Misc Store,other purchase,-77.9,other,general,card,0,0
37,2025-11-24,Credit,Costco,groceries purchase,-291.44,groceries,general,pos,0,0
38,2025-11-23,Checking,Uber,transport purchase,-33.88,transport,general,pos,0,0
39,2025-11-14,Checking,Spotify,entertainment purchase,-104.06,entertainment,general,pos,0,0
40,2025-11-24,Credit,Shell,transport purchase,-112.8,transport,general,pos,0,0
