txn_id,date,account,merchant,description,amount,category,subcategory,channel,is_recurring,is_income
1,2025-11-03,Checking,Payouts Inc,Paycheck,1669.52,income,salary,ach,1,1
2,2025-11-17,Checking,ACME Corp,Paycheck,1791.81,income,salary,ach,1,1
3,2025-11-02,Checking,Sunrise Apartments,Monthly Rent,-1200,rent,housing,ach,1,0
4,2025-11-11,Checking,GasWorks,Utility Bill,-150,utilities,bill,ach,1,0
5,2025-11-15,Credit,Spotify,Subscription,-34.12,subscriptions,media,card,1,0
6,2025-11-28,Credit,Netflix,Subscription,-31.23,subscriptions,media,card,1,0
7,2025-11-22,Credit,iCloud,Subscription,-28.3,subscriptions,media,card,1,0
8,2025-11-04,Checking,Amazon,shopping purchase,-49.99,shopping,general,pos,0,0
9,2025-11-05,Credit,Hulu,entertainment purchase,-35.13,entertainment,general,card,0,0
10,2025-11-06,Checking,Spotify,entertainment purchase,-29.83,entertainment,general,card,0,0
11,2025-11-28,Credit,Target,shopping purchase,-25.51,shopping,general,card,0,0
12,2025-11-13,Checking,Walmart,groceries purchase,-54.04,groceries,general,pos,0,0
13,2025-11-13,Checking,Misc Store,other purchase,-13.39,other,general,pos,0,0
14,2025-11-09,Credit,Shell,transport purchase,-25.39,transport,general,card,0,0
15,2025-11-08,Credit,Exxon,transport purchase,-34.72,transport,general,card,0,0
16,2025-11-26,Credit,Spotify,entertainment purchase,-37.81,entertainment,general,pos,0,0
17,2025-11-12,Checking,Misc Store,other purchase,-22.58,other,general,pos,0,0
18,2025-11-04,Checking,Trader Joes,groceries purchase,-68.68,groceries,general,pos,0,0
19,2025-11-03,Checking,Target,shopping purchase,-46.21,shopping,general,card,0,0
20,2025-11-05,Credit,Best Buy,shopping purchase,-58.69,shopping,general,card,0,0
21,2025-11-24,Credit,Misc Store,other purchase,-19.39,other,general,card,0,0
22,2025-11-05,Credit,Starbucks,dining purchase,-55.09,dining,general,pos,0,0
23,2025-11-12,Checking,Best Buy,shopping purchase,-71.83,shopping,general,card,0,0
24,2025-11-27,Credit,Misc Store,other purchase,-18.05,other,general,pos,0,0
25,2025-11-17,Credit,CVS,healthcare purchase,-14.05,healthcare,general,card,0,0
26,2025-11-08,Credit,Chipotle,dining purchase,-53.52,dining,general,pos,0,0
27,2025-11-09,Checking,Misc Store,other purchase,-20.32,other,general,pos,0,0
28,2025-11-25,Checking,Amazon,shopping purchase,-60.68,shopping,general,pos,0,0
29,2025-11-21,Checking,Best Buy,shopping purchase,-25.23,shopping,general,card,0,0
30,2025-11-02,Checking,Amazon,shopping purchase,-52.22,shopping,general,card,0,0
31,2025-11-19,Checking,Chipotle,dining purchase,-63.22,dining,general,pos,0,0
32,2025-11-02,Credit,CVS,healthcare purchase,-23.22,healthcare,general,card,0,0
33,2025-10-03,Checking,Payouts Inc,Paycheck,1733.35,income,salary,ach,1,1
34,2025-10-17,Checking,ACME Corp,Paycheck,1799.84,income,salary,ach,1,1
35,2025-10-02,Checking,Oakwood Homes,Monthly Rent,-1200,rent,housing,ach,1,0
36,2025-10-04,Checking,PureWater,Utility Bill,-150,utilities,bill,ach,1,0
37,2025-10-05,Credit,Spotify,Subscription,-35.37,subscriptions,media,card,1,0
38,2025-10-09,Credit,Netflix,Subscription,-27.41,subscriptions,media,card,1,0
39,2025-10-26,Credit,iCloud,Subscription,-27.11,subscriptions,media,card,1,0
40,2025-10-04,Credit,Whole Foods,groceries purchase,-46.73,groceries,general,card,0,0
41,2025-10-08,Credit,Best Buy,shopping purchase,-28.76,shopping,general,pos,0,0
42,2025-10-15,Credit,Walgreens,healthcare purchase,-13.04,healthcare,general,pos,0,0
43,2025-10-20,Checking,AMC,entertainment purchase,-18.67,entertainment,general,pos,0,0
44,2025-10-08,Credit,City Clinic,healthcare purchase,-21.24,healthcare,general,card,0,0
45,2025-10-07,Checking,CVS,healthcare purchase,-20.21,healthcare,general,card,0,0
46,2025-10-11,Credit,Misc Store,other purchase,-19.24,other,general,card,0,0
47,2025-10-17,Checking,Chipotle,dining purchase,-52.59,dining,general,pos,0,0
48,2025-10-27,Credit,Spotify,entertainment purchase,-28.67,entertainment,general,pos,0,0
49,2025-10-12,Credit,Misc Store,other purchase,-10.63,other,general,pos,0,0
50,2025-10-13,Credit,Misc Store,other purchase,-20.05,other,general,pos,0,0
51,2025-10-11,Credit,Misc Store,other purchase,-22.47,other,general,pos,0,0
52,2025-10-16,Credit,Chipotle,dining purchase,-24.38,dining,general,pos,0,0
53,2025-10-11,Checking,Trader Joes,groceries purchase,-91.89,groceries,general,card,0,0
54,2025-10-06,Checking,Cafe Roma,dining purchase,-46.38,dining,general,card,0,0
55,2025-10-14,Checking,Whole Foods,groceries purchase,-108.45,groceries,general,pos,0,0
56,2025-10-15,Credit,Starbucks,dining purchase,-26.55,dining,general,pos,0,0
57,2025-10-03,Credit,Shell,transport purchase,-27.21,transport,general,pos,0,0
58,2025-10-16,Credit,Walgreens,healthcare purchase,-8.36,healthcare,general,card,0,0
59,2025-10-15,Checking,Misc Store,other purchase,-9.78,other,general,card,0,0
60,2025-10-27,Credit,Trader Joes,groceries purchase,-114.87,groceries,general,card,0,0
61,2025-10-29,Credit,Chipotle,dining purchase,-19.27,dining,general,card,0,0
62,2025-10-02,Checking,Exxon,transport purchase,-20.16,transport,general,pos,0,0
63,2025-10-25,Checking,Lyft,transport purchase,-23.33,transport,general,pos,0,0
64,2025-10-14,Checking,Misc Store,other purchase,-14.64,other,general,pos,0,0
